number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,4.1236714124679565,2026-04-06 04:37:15.972548,2026-04-06 04:37:18.150526,0 days 00:00:02.177978,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[71, 45]","{'MAE_15m': 3.348512887954712, 'RMSE_15m': 5.741865291767875, 'sMAPE_15m': 10.176710602562933, 'R2_15m': 0.8669233059688946, 'MAE_30m': 4.898829936981201, 'RMSE_30m': 8.023049052640413, 'sMAPE_30m': 14.771133509568546, 'R2_30m': 0.7398069037931956, 'MAE_avg': 4.1236714124679565, 'RMSE_avg': 6.882457172204145, 'sMAPE_avg': 12.473922056065739, 'R2_avg': 0.8033651048810451}",COMPLETE
1,3.5130107402801514,2026-04-06 04:37:18.152114,2026-04-06 04:37:22.558062,0 days 00:00:04.405948,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[538, 436]","{'MAE_15m': 2.7128124237060547, 'RMSE_15m': 5.393238086653154, 'sMAPE_15m': 7.971294932257507, 'R2_15m': 0.8825926901534847, 'MAE_30m': 4.313209056854248, 'RMSE_30m': 7.664637863851389, 'sMAPE_30m': 12.796768261697327, 'R2_30m': 0.7625347393913238, 'MAE_avg': 3.5130107402801514, 'RMSE_avg': 6.528937975252271, 'sMAPE_avg': 10.384031596977417, 'R2_avg': 0.8225637147724043}",COMPLETE
2,3.67982280254364,2026-04-06 04:37:22.559797,2026-04-06 04:37:24.985906,0 days 00:00:02.426109,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[184, 132]","{'MAE_15m': 2.873830556869507, 'RMSE_15m': 5.4934622314910255, 'sMAPE_15m': 8.543986537336039, 'R2_15m': 0.8781885070348763, 'MAE_30m': 4.485815048217773, 'RMSE_30m': 7.741813027018445, 'sMAPE_30m': 13.439366168442929, 'R2_30m': 0.7577285771520894, 'MAE_avg': 3.67982280254364, 'RMSE_avg': 6.617637629254736, 'sMAPE_avg': 10.991676352889485, 'R2_avg': 0.8179585420934828}",COMPLETE
3,3.6382819414138794,2026-04-06 04:37:24.991185,2026-04-06 04:37:28.644846,0 days 00:00:03.653661,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[320, 219]","{'MAE_15m': 2.7660000324249268, 'RMSE_15m': 5.398913217609116, 'sMAPE_15m': 8.24152237278392, 'R2_15m': 0.8823454577977884, 'MAE_30m': 4.510563850402832, 'RMSE_30m': 7.741217282012191, 'sMAPE_30m': 13.586498802806139, 'R2_30m': 0.7577658834513736, 'MAE_avg': 3.6382819414138794, 'RMSE_avg': 6.5700652498106535, 'sMAPE_avg': 10.91401058779503, 'R2_avg': 0.820055670624581}",COMPLETE
4,4.526934742927551,2026-04-06 04:37:28.651690,2026-04-06 04:37:30.610994,0 days 00:00:01.959304,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[41, 27]","{'MAE_15m': 3.871342897415161, 'RMSE_15m': 6.138699838864083, 'sMAPE_15m': 12.359745767446363, 'R2_15m': 0.8478931429057699, 'MAE_30m': 5.182526588439941, 'RMSE_30m': 8.211271996041097, 'sMAPE_30m': 15.784119300906077, 'R2_30m': 0.7274553026567459, 'MAE_avg': 4.526934742927551, 'RMSE_avg': 7.17498591745259, 'sMAPE_avg': 14.07193253417622, 'R2_avg': 0.7876742227812579}",COMPLETE
5,4.61180567741394,2026-04-06 04:37:30.614813,2026-04-06 04:37:33.083255,0 days 00:00:02.468442,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 3.93776798248291, 'RMSE_15m': 5.892921222817261, 'sMAPE_15m': 12.813559651042688, 'R2_15m': 0.859829276431236, 'MAE_30m': 5.285843372344971, 'RMSE_30m': 7.843060345366131, 'sMAPE_30m': 16.506026054962206, 'R2_30m': 0.7513502973664103, 'MAE_avg': 4.61180567741394, 'RMSE_avg': 6.867990784091695, 'sMAPE_avg': 14.659792853002447, 'R2_avg': 0.8055897868988231}",COMPLETE
6,3.7173585891723633,2026-04-06 04:37:33.085063,2026-04-06 04:37:35.065126,0 days 00:00:01.980063,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[183, 68]","{'MAE_15m': 2.8434600830078125, 'RMSE_15m': 5.300041040225648, 'sMAPE_15m': 8.530874969221705, 'R2_15m': 0.8866152961230431, 'MAE_30m': 4.591257095336914, 'RMSE_30m': 7.82080320482204, 'sMAPE_30m': 13.676302860442924, 'R2_30m': 0.7527595607550933, 'MAE_avg': 3.7173585891723633, 'RMSE_avg': 6.560422122523844, 'sMAPE_avg': 11.103588914832315, 'R2_avg': 0.8196874284390683}",COMPLETE
7,4.938018321990967,2026-04-06 04:37:35.066656,2026-04-06 04:37:37.245141,0 days 00:00:02.178485,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 4.31689977645874, 'RMSE_15m': 6.357968786479197, 'sMAPE_15m': 13.997631621828546, 'R2_15m': 0.8368328186112401, 'MAE_30m': 5.559136867523193, 'RMSE_30m': 8.228596058309115, 'sMAPE_30m': 17.28409600474825, 'R2_30m': 0.7263041098522307, 'MAE_avg': 4.938018321990967, 'RMSE_avg': 7.293282422394157, 'sMAPE_avg': 15.640863813288398, 'R2_avg': 0.7815684642317354}",COMPLETE
8,3.732577681541443,2026-04-06 04:37:37.252285,2026-04-06 04:37:40.628392,0 days 00:00:03.376107,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[399, 399]","{'MAE_15m': 2.978642702102661, 'RMSE_15m': 5.420244746858275, 'sMAPE_15m': 9.037090772835485, 'R2_15m': 0.881413903245333, 'MAE_30m': 4.486512660980225, 'RMSE_30m': 7.638052353185333, 'sMAPE_30m': 13.33632202507041, 'R2_30m': 0.7641792448777224, 'MAE_avg': 3.732577681541443, 'RMSE_avg': 6.529148550021803, 'sMAPE_avg': 11.186706398952948, 'R2_avg': 0.8227965740615277}",COMPLETE
9,3.6854450702667236,2026-04-06 04:37:40.635135,2026-04-06 04:37:42.801268,0 days 00:00:02.166133,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[92, 56]","{'MAE_15m': 2.903785228729248, 'RMSE_15m': 5.475551190783948, 'sMAPE_15m': 8.708025349079904, 'R2_15m': 0.8789815206063424, 'MAE_30m': 4.467104911804199, 'RMSE_30m': 7.725148872990299, 'sMAPE_30m': 13.36570418198542, 'R2_30m': 0.7587704316442332, 'MAE_avg': 3.6854450702667236, 'RMSE_avg': 6.600350031887123, 'sMAPE_avg': 11.036864765532663, 'R2_avg': 0.8188759761252877}",COMPLETE
