number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,4.962041139602661,2026-04-06 04:37:58.424776,2026-04-06 04:38:00.474686,0 days 00:00:02.049910,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[48, 52]","{'MAE_15m': 3.4908804893493652, 'RMSE_15m': 6.94295362958295, 'sMAPE_15m': 6.581909871543705, 'R2_15m': 0.910265193367876, 'MAE_30m': 6.433201789855957, 'RMSE_30m': 11.748088924748105, 'sMAPE_30m': 12.719916693874032, 'R2_30m': 0.7449104608208945, 'MAE_avg': 4.962041139602661, 'RMSE_avg': 9.345521277165528, 'sMAPE_avg': 9.650913282708869, 'R2_avg': 0.8275878270943853}",COMPLETE
1,4.371867775917053,2026-04-06 04:38:00.476376,2026-04-06 04:38:04.376273,0 days 00:00:03.899897,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[341, 442]","{'MAE_15m': 3.042449712753296, 'RMSE_15m': 6.824596619475373, 'sMAPE_15m': 6.063755836879414, 'R2_15m': 0.9132985571215043, 'MAE_30m': 5.7012858390808105, 'RMSE_30m': 11.137073951390036, 'sMAPE_30m': 11.573241153387743, 'R2_30m': 0.7707547180486405, 'MAE_avg': 4.371867775917053, 'RMSE_avg': 8.980835285432704, 'sMAPE_avg': 8.818498495133579, 'R2_avg': 0.8420266375850725}",COMPLETE
2,4.3980631828308105,2026-04-06 04:38:04.377953,2026-04-06 04:38:06.992259,0 days 00:00:02.614306,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[161, 127]","{'MAE_15m': 2.8367018699645996, 'RMSE_15m': 6.465751505849911, 'sMAPE_15m': 5.476819086372798, 'R2_15m': 0.922176569502868, 'MAE_30m': 5.9594244956970215, 'RMSE_30m': 11.267869109444701, 'sMAPE_30m': 11.836828728360059, 'R2_30m': 0.765338528854731, 'MAE_avg': 4.3980631828308105, 'RMSE_avg': 8.866810307647306, 'sMAPE_avg': 8.656823907366428, 'R2_avg': 0.8437575491787994}",COMPLETE
3,4.53288459777832,2026-04-06 04:38:06.994102,2026-04-06 04:38:10.490003,0 days 00:00:03.495901,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[237, 240]","{'MAE_15m': 3.28359317779541, 'RMSE_15m': 7.26624897564248, 'sMAPE_15m': 6.348181109813629, 'R2_15m': 0.9017137139238831, 'MAE_30m': 5.7821760177612305, 'RMSE_30m': 11.459082746563013, 'sMAPE_30m': 11.484830768699556, 'R2_30m': 0.7573066317579582, 'MAE_avg': 4.53288459777832, 'RMSE_avg': 9.362665861102746, 'sMAPE_avg': 8.916505939256592, 'R2_avg': 0.8295101728409207}",COMPLETE
4,4.79460883140564,2026-04-06 04:38:10.491899,2026-04-06 04:38:12.662889,0 days 00:00:02.170990,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[17, 28]","{'MAE_15m': 3.578972339630127, 'RMSE_15m': 7.277189899155384, 'sMAPE_15m': 7.2109429387593345, 'R2_15m': 0.9014175128179025, 'MAE_30m': 6.010245323181152, 'RMSE_30m': 11.557248464294158, 'sMAPE_30m': 11.971912203308582, 'R2_30m': 0.7531306826440046, 'MAE_avg': 4.79460883140564, 'RMSE_avg': 9.417219181724771, 'sMAPE_avg': 9.591427571033957, 'R2_avg': 0.8272740977309536}",COMPLETE
5,5.467170238494873,2026-04-06 04:38:12.666640,2026-04-06 04:38:15.512504,0 days 00:00:02.845864,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 3.989114761352539, 'RMSE_15m': 6.936243441769911, 'sMAPE_15m': 8.372491865784273, 'R2_15m': 0.910438571410631, 'MAE_30m': 6.945225715637207, 'RMSE_30m': 11.276234534231545, 'sMAPE_30m': 14.359569897669356, 'R2_30m': 0.7649899567557156, 'MAE_avg': 5.467170238494873, 'RMSE_avg': 9.106238988000728, 'sMAPE_avg': 11.366030881726815, 'R2_avg': 0.8377142640831733}",COMPLETE
6,4.094427227973938,2026-04-06 04:38:15.530238,2026-04-06 04:38:17.481268,0 days 00:00:01.951030,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[21, 27]","{'MAE_15m': 2.715235471725464, 'RMSE_15m': 7.022357929839193, 'sMAPE_15m': 5.4188587344518355, 'R2_15m': 0.9082009143914125, 'MAE_30m': 5.473618984222412, 'RMSE_30m': 11.137793910197619, 'sMAPE_30m': 11.335159868282, 'R2_30m': 0.7707250785631712, 'MAE_avg': 4.094427227973938, 'RMSE_avg': 9.080075920018405, 'sMAPE_avg': 8.377009301366918, 'R2_avg': 0.8394629964772918}",COMPLETE
7,5.553671836853027,2026-04-06 04:38:17.485981,2026-04-06 04:38:19.918754,0 days 00:00:02.432773,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 4.1546196937561035, 'RMSE_15m': 7.499035328178651, 'sMAPE_15m': 8.754858226090073, 'R2_15m': 0.8953153126991052, 'MAE_30m': 6.952723979949951, 'RMSE_30m': 11.715747011067785, 'sMAPE_30m': 14.333639183057212, 'R2_30m': 0.7463130207508125, 'MAE_avg': 5.553671836853027, 'RMSE_avg': 9.607391169623218, 'sMAPE_avg': 11.544248704573643, 'R2_avg': 0.8208141667249589}",COMPLETE
8,4.29207980632782,2026-04-06 04:38:19.926925,2026-04-06 04:38:23.434765,0 days 00:00:03.507840,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[399, 334]","{'MAE_15m': 2.8110697269439697, 'RMSE_15m': 6.499400478004593, 'sMAPE_15m': 5.2017601426501585, 'R2_15m': 0.9213644378851609, 'MAE_30m': 5.77308988571167, 'RMSE_30m': 11.072975845154852, 'sMAPE_30m': 11.451257625033302, 'R2_30m': 0.7733858848957164, 'MAE_avg': 4.29207980632782, 'RMSE_avg': 8.786188161579723, 'sMAPE_avg': 8.32650888384173, 'R2_avg': 0.8473751613904386}",COMPLETE
9,4.74630331993103,2026-04-06 04:38:23.443054,2026-04-06 04:38:25.405209,0 days 00:00:01.962155,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[41, 37]","{'MAE_15m': 3.278604507446289, 'RMSE_15m': 7.5171214178301256, 'sMAPE_15m': 6.294207719624839, 'R2_15m': 0.8948097402576329, 'MAE_30m': 6.2140021324157715, 'RMSE_30m': 11.731132130343187, 'sMAPE_30m': 12.568417377482918, 'R2_30m': 0.7456462922190645, 'MAE_avg': 4.74630331993103, 'RMSE_avg': 9.624126774086657, 'sMAPE_avg': 9.431312548553878, 'R2_avg': 0.8202280162383487}",COMPLETE
